"Timestamp","WorkID","System","WorkItem","Priority","Status","Owner","MilesDecision","ApprovalRequirement","RecommendedNextStep"
"2026-06-20 19:07:09","W001","Website","Homepage Hero Rewrite","P1","Queued","Miles","Draft / Prepare","Kevin approval before publish","Prepare draft / briefing for Kevin"
"2026-06-20 19:07:09","W002","Website","Navigation Cleanup","P1","Queued","Miles","Draft / Prepare","Kevin approval before publish","Prepare draft / briefing for Kevin"
"2026-06-20 19:07:09","W003","Website","Hero CTA Conversion","P1","Queued","Miles","Draft / Prepare","Kevin approval before publish","Prepare draft / briefing for Kevin"
"2026-06-20 19:07:09","W004","Website","Who We Help Section","P2","Queued","Miles","Review","Unknown","Prepare draft / briefing for Kevin"
"2026-06-20 19:07:09","W005","Instantly","SBS Campaign Upload","P1","Active","Miles","Execute","No approval needed unless protected asset involved","Move to execution queue"
"2026-06-20 19:07:09","W006","Instantly","Bounce Monitoring","P1","Active","Miles","Execute","No approval needed unless protected asset involved","Move to execution queue"
"2026-06-20 19:07:09","W007","ORION","Contractor Profile Engine","P1","Active","Eleanor","Execute with backup","No approval unless deleting data","Move to execution queue"
"2026-06-20 19:07:09","W008","ORION","Recommendation Reasoning Table","P1","Queued","Eleanor","Execute with backup","No approval unless deleting data","Move to execution queue"
"2026-06-20 19:07:09","W009","Dreamers","Opportunity Review Queue","P1","Active","Victor","Prepare / Report","Kevin approval for client-facing final decisions","Prepare draft / briefing for Kevin"
"2026-06-20 19:07:09","W010","Systems","Asset Registry Expansion","P2","Queued","Miles","Review","Unknown","Prepare draft / briefing for Kevin"
