"RelativePath","Line","Integration","Text"
"executive_dashboard.js","37","instantly","const instantly = readJson(""instantly_campaigns.json"");"
"executive_dashboard.js","55","INSTANTLY","section(""OUTBOUND - INSTANTLY"");"
"executive_dashboard.js","57","instantly","if (instantly) {"
"executive_dashboard.js","58","instantly","console.log(`Campaigns Total : ${instantly.total_campaigns}`);"
"executive_dashboard.js","59","instantly","console.log(`Active          : ${instantly.active_campaigns}`);"
"executive_dashboard.js","60","instantly","console.log(`Paused          : ${instantly.paused_campaigns}`);"
"executive_dashboard.js","63","instantly","instantly.campaigns.forEach((c) => {"
"executive_dashboard.js","68","Instantly","console.log(""No Instantly campaign data found."");"
"executive_dashboard.js","81","instantly","if (instantly?.active_campaigns === 0) {"
"executive_dashboard.js","82","Instantly","console.log(""YELLOW | No active Instantly campaigns."");"
"executive_dashboard.js","88","Google","console.log(""2. Fix Google multi-account warning later; not blocking."");"
"executive_dashboard.js","89","IONOS","console.log(""3. Build IONOS mailbox connector next."");"
"executive_dashboard.js","91","Instantly","console.log(""5. Connect ORION segment inventory to Instantly campaigns."");"
"executive_dashboard.js","95","IONOS","console.log(""IONOS Connector v1"");"
"INSTALL_MILES_BUILDER_ANALYZER.ps1","67","INSTANTLY","""CONNECTORS/INSTANTLY/connector.js"","
"INSTALL_MILES_BUILDER_ANALYZER.ps1","68","GOOGLE","""CONNECTORS/GOOGLE/connector.js"","
"INSTALL_MILES_BUILDER_ANALYZER.ps1","70","NAMECHEAP","""CONNECTORS/NAMECHEAP/connector.js"""
"INSTALL_MILES_OS.ps1","12","playwright","Write-Host ""npx playwright install chromium"""
"INSTALL_MILES_PLANNER_SUBSYSTEM.ps1","61","instantly","if (/revenue|sales|client|proposal|dreamers|campaign|orion|instantly/.test(text)) return ""HIGH"";"
"miles_connector_health.js","6","GOOGLE","const GoogleConnector = require(""./CONNECTORS/GOOGLE"");"
"miles_connector_health.js","7","INSTANTLY","const InstantlyConnector = require(""./CONNECTORS/INSTANTLY/instantly"");"
"miles_connector_health.js","10","GOOGLE","connectorManager.register(""GOOGLE"", GoogleConnector);"
"miles_connector_health.js","12","INSTANTLY","connectorManager.register(""INSTANTLY"", {"
"miles_google_accounts_health.js","3","Google","const Google = require(""./CONNECTORS/GOOGLE"");"
"miles_google_accounts_health.js","6","Google","const health = await Google.healthCheck();"
"miles_google_accounts_health.js","8","GOOGLE","console.log(""MILES GOOGLE ACCOUNTS HEALTH"");"
"miles_google_accounts_health.js","23","Google","console.error(""Google accounts health failed:"");"
"MILES_SPRINT2_EXECUTION_LAYER.ps1","553","GOOGLE","node -e ""const e=require('./SERVICES/ExecutionService'); const t=e.enqueue({connector:'GOOGLE', action:'healthCheck', task:'Check Google connector health', priority:10}); console.log(JSON.stringify(t,null,2));"""
"OpenMilesBrowser.js","10","linkedin","const system = process.argv[2] || ""linkedin"";"
"package-lock.json","15","playwright","""playwright"": ""^1.61.1"""
"package-lock.json","67","github","""type"": ""github"","
"package-lock.json","68","github","""url"": ""https://github.com/sponsors/feross"""
"package-lock.json","158","github","""type"": ""github"","
"package-lock.json","159","github","""url"": ""https://github.com/sponsors/feross"""
"package-lock.json","211","github","""url"": ""https://github.com/sponsors/ljharb"""
"package-lock.json","301","github","""url"": ""https://github.com/sponsors/sindresorhus"""
"package-lock.json","536","github","""url"": ""https://github.com/sponsors/RubenVerborgh"""
"package-lock.json","630","github","""url"": ""https://github.com/sponsors/ljharb"""
"package-lock.json","654","github","""url"": ""https://github.com/sponsors/ljharb"""
"package-lock.json","670","github","""node_modules/github-from-package"": {"
"package-lock.json","672","github","""resolved"": ""https://registry.npmjs.org/github-from-package/-/github-from-package-0.0.0.tgz"","
"package-lock.json","685","github","""url"": ""https://github.com/sponsors/ljharb"""
"package-lock.json","697","github","""url"": ""https://github.com/sponsors/ljharb"""
"package-lock.json","712","github","""url"": ""https://github.com/sponsors/ljharb"""
"package-lock.json","782","github","""type"": ""github"","
"package-lock.json","783","github","""url"": ""https://github.com/sponsors/feross"""
"package-lock.json","850","github","""url"": ""https://github.com/sponsors/sindresorhus"""
"package-lock.json","887","github","""url"": ""https://github.com/sponsors/sindresorhus"""
"package-lock.json","896","github","""url"": ""https://github.com/sponsors/ljharb"""
"package-lock.json","947","github","""url"": ""https://github.com/sponsors/ljharb"""
"package-lock.json","990","playwright","""node_modules/playwright"": {"
"package-lock.json","992","playwright","""resolved"": ""https://registry.npmjs.org/playwright/-/playwright-1.61.1.tgz"","
"package-lock.json","996","playwright","""playwright-core"": ""1.61.1"""
"package-lock.json","999","playwright","""playwright"": ""cli.js"""
"package-lock.json","1008","playwright","""node_modules/playwright-core"": {"
"package-lock.json","1010","playwright","""resolved"": ""https://registry.npmjs.org/playwright-core/-/playwright-core-1.61.1.tgz"","
"package-lock.json","1014","playwright","""playwright-core"": ""cli.js"""
"package-lock.json","1029","github","""github-from-package"": ""0.0.0"","
"package-lock.json","1092","github","""url"": ""https://github.com/sponsors/ljharb"""
"package-lock.json","1174","github","""type"": ""github"","
"package-lock.json","1175","github","""url"": ""https://github.com/sponsors/feross"""
"package-lock.json","1273","github","""url"": ""https://github.com/sponsors/ljharb"""
"package-lock.json","1289","github","""url"": ""https://github.com/sponsors/ljharb"""
"package-lock.json","1307","github","""url"": ""https://github.com/sponsors/ljharb"""
"package-lock.json","1326","github","""url"": ""https://github.com/sponsors/ljharb"""
"package-lock.json","1335","github","""type"": ""github"","
"package-lock.json","1336","github","""url"": ""https://github.com/sponsors/feross"""
"package-lock.json","1355","github","""type"": ""github"","
"package-lock.json","1356","github","""url"": ""https://github.com/sponsors/feross"""
"package.json","16","playwright","""playwright"": ""^1.61.1"""
"TestBrowserOS.js","8","LinkedIn","console.log(""===== Open LinkedIn ====="");"
"TestBrowserOS.js","12","linkedin","""linkedin"","
"TestBrowserOS.js","13","linkedin","""https://www.linkedin.com/feed/"","
"TestBrowserOS.js","21","LinkedIn","console.log(""Manually confirm LinkedIn is logged in."");"
"TestBrowserOS.js","26","LinkedIn","console.log(""===== Save LinkedIn Session ====="");"
"TestBrowserOS.js","27","linkedin","console.log(JSON.stringify(await browser.saveSession(""linkedin""), null, 2));"
"TestBrowserOS.js","30","linkedin","console.log(JSON.stringify(await browser.screenshot(""linkedin""), null, 2));"
"TestBrowserWorker.js","4","instantly","const system = process.argv[2] || ""instantly"";"
"TestExecutionEngine.js","13","Instantly","objective: ""Create sales pipeline plan for Instantly outbound campaign"","
"TestPersistentBrowserOS.js","9","linkedin","""linkedin"","
"TestPersistentBrowserOS.js","10","linkedin","""https://www.linkedin.com/feed/"","
"TestPersistentBrowserOS.js","22","linkedin","await browser.currentUrl(""linkedin""),"
"TestPersistentBrowserOS.js","30","linkedin","await browser.screenshot(""linkedin""),"
"VERIFY_EXEC_003.ps1","5","INSTANTLY","Write-Host "" VERIFY EXEC_003 INSTANTLY LIVE"""
"MERGE_MANIFEST.json","9","Instantly","""Instantly"","
"CORE\authority.js","2","instantly","return /pathways2gc\.com/i.test(text || '') && /outbound|instantly|campaign|send/i.test(text || '');"
"CORE\AutonomousDiscoveryEngine.js","150","instantly","browserSystem: ""instantly"","
"CORE\AutonomousDiscoveryEngine.js","151","INSTANTLY","system: ""INSTANTLY"","
"CORE\AutonomousDiscoveryEngine.js","152","Instantly","action: ""Inspect Instantly outbound account health"","
"CORE\AutonomousDiscoveryEngine.js","164","Calendar","description: ""Calendar should be reviewed for meetings and pipeline signals."","
"CORE\AutonomousDiscoveryEngine.js","170","calendly","browserSystem: ""calendly"","
"CORE\AutonomousDiscoveryEngine.js","171","CALENDLY","system: ""CALENDLY"","
"CORE\AutonomousDiscoveryEngine.js","173","calendar","reason: ""Regular calendar monitoring."","
"CORE\AutonomousDiscoveryEngine.js","184","LinkedIn","description: ""LinkedIn should be checked for messages and relationship activity."","
"CORE\AutonomousDiscoveryEngine.js","190","linkedin","browserSystem: ""linkedin"","
"CORE\AutonomousDiscoveryEngine.js","191","LINKEDIN","system: ""LINKEDIN"","
"CORE\AutonomousDiscoveryEngine.js","192","LinkedIn","action: ""Inspect LinkedIn relationship activity"","
"CORE\AutonomousDiscoveryEngine.js","210","namecheap","browserSystem: ""namecheap"","
"CORE\AutonomousDiscoveryEngine.js","211","NAMECHEAP","system: ""NAMECHEAP"","
"CORE\AutonomousDiscoveryEngine.js","230","ionos","browserSystem: ""ionos"","
"CORE\AutonomousDiscoveryEngine.js","231","IONOS","system: ""IONOS"","
"CORE\Supervisor.js","20","INSTANTLY","[""INSTANTLY"", ""../CONNECTORS/INSTANTLY/connector""],"
"CORE\SystemIntelligence.js","76","INSTANTLY","file: ""CONNECTORS/INSTANTLY/connector.js"","
"CORE\TestRuntimeController.js","23","Instantly","objective: ""Create sales pipeline plan for Instantly outbound campaign"","
"CORE\BROWSER\BrowserManager.js","3","playwright","const { chromium } = require(""playwright"");"
"CORE\BROWSER\BrowserManager.js","128","linkedin","linkedin: ""https://www.linkedin.com/feed/"","
"CORE\BROWSER\BrowserManager.js","129","google","google: ""https://mail.google.com/"","
"CORE\BROWSER\BrowserManager.js","130","ionos","ionos: ""https://email.ionos.com/"","
"CORE\BROWSER\BrowserManager.js","131","namecheap","namecheap: ""https://ap.www.namecheap.com/domains/list/"","
"CORE\BROWSER\BrowserManager.js","132","calendly","calendly: ""https://calendly.com/app/meetings/user/me"","
"CORE\BROWSER\BrowserManager.js","133","instantly","instantly: ""https://app.instantly.ai/"""
"CORE\BROWSER\BrowserWorker.js","6","linkedin","linkedin: ""https://www.linkedin.com/feed/"","
"CORE\BROWSER\BrowserWorker.js","7","google","google: ""https://mail.google.com/"","
"CORE\BROWSER\BrowserWorker.js","8","ionos","ionos: ""https://email.ionos.com/"","
"CORE\BROWSER\BrowserWorker.js","9","namecheap","namecheap: ""https://ap.www.namecheap.com/domains/list/"","
"CORE\BROWSER\BrowserWorker.js","10","calendly","calendly: ""https://calendly.com/app/meetings/user/me"","
"CORE\BROWSER\BrowserWorker.js","11","instantly","instantly: ""https://app.instantly.ai/app/accounts"""
"CORE\Connectors\Ingestion\gmailIngestor.js","16","Gmail","console.log(""[INGEST] Gmail â†’ REPLY_RECEIVED"");"
"CORE\Connectors\Ingestion\instantlyIngestor.js","17","Instantly","console.log(""[INGEST] Instantly â†’ LEAD_CREATED"");"
"CORE\CANONICAL\EnterpriseStore.js","39","sqlite","this.mode = ""sqlite"";"
"CORE\CANONICAL\EnterpriseStore.js","210","sqlite","if (this.mode === ""sqlite"") {"
"CORE\CANONICAL\EnterpriseStore.js","235","sqlite","if (this.mode === ""sqlite"") {"
"CORE\CANONICAL\EnterpriseStore.js","268","sqlite","if (this.mode === ""sqlite"") {"
"CORE\CANONICAL\EnterpriseStore.js","284","sqlite","if (this.mode === ""sqlite"") {"
"CORE\CANONICAL\EnterpriseStore.js","310","sqlite","if (this.mode === ""sqlite"") {"
"CORE\CANONICAL\EnterpriseStore.js","324","sqlite","if (this.mode === ""sqlite"") {"
"CORE\CANONICAL\EnterpriseStore.js","347","sqlite","if (this.mode === ""sqlite"") {"
"CORE\CANONICAL\EnterpriseStore.js","361","sqlite","if (this.mode === ""sqlite"") {"
"CORE\CANONICAL\EnterpriseStore.js","381","sqlite","if (this.mode === ""sqlite"") {"
"CORE\CANONICAL\EnterpriseStore.js","395","sqlite","if (this.mode === ""sqlite"") {"
"CORE\CANONICAL\EnterpriseStore.js","422","sqlite","if (this.mode === ""sqlite"") {"
"CORE\CANONICAL\EnterpriseStore.js","437","sqlite","if (this.mode === ""sqlite"") {"
"CORE\CANONICAL\EnterpriseStore.js","464","sqlite","if (this.mode === ""sqlite"") {"
"CORE\CANONICAL\EnterpriseStore.js","481","sqlite","if (this.mode === ""sqlite"") {"
"CORE\CANONICAL\EnterpriseStore.js","506","sqlite","if (this.mode === ""sqlite"") {"
"CORE\CANONICAL\EnterpriseStore.js","522","sqlite","if (this.mode === ""sqlite"") {"
"CORE\CANONICAL\EnterpriseStore.js","550","sqlite","if (this.mode === ""sqlite"") {"
"CORE\CANONICAL\EnterpriseStore.js","567","sqlite","if (this.mode === ""sqlite"") {"
"CORE\CANONICAL\EnterpriseStore.js","587","sqlite","if (this.mode === ""sqlite"") {"
"CORE\CANONICAL\EnterpriseStore.js","603","sqlite","if (this.mode === ""sqlite"") {"
"CORE\CANONICAL\EnterpriseStore.js","616","sqlite","if (this.mode === ""sqlite"") {"
"CORE\CANONICAL\EnterpriseStore.js","626","sqlite","if (this.mode === ""sqlite"") {"
"SERVICES\AutonomousCOOLoopService.js","365","Instantly","""Audit paused Instantly campaigns, deliverability risk, inbox capacity, and safe resume options."","
"SERVICES\AutonomousCOOLoopService.js","594","instantly","if (/campaign|paused|active|outbound|instantly|lead/.test(text)) {"
"SERVICES\AutonomousCOOLoopService.js","641","LinkedIn","area: ""LinkedIn COO"","
"SERVICES\AutonomousCOOLoopService.js","642","linkedin","providerKey: ""linkedin"","
"SERVICES\AutonomousCOOLoopService.js","643","LinkedIn","title: ""Build LinkedIn COO content and engagement operator"","
"SERVICES\AutonomousCOOLoopService.js","653","LinkedIn","""Add LinkedIn provider and browser worker for audit, content queue, and governed posting."""
"SERVICES\BusinessOperationsBridgeService.js","156","instantly","(/instantly|campaign|email|lead|outbound/i.test("
"SERVICES\BusinessOperationsBridgeService.js","159","INSTANTLY","? ""INSTANTLY"""
"SERVICES\BusinessOperationsBridgeService.js","281","INSTANTLY","if (p.toUpperCase() === ""INSTANTLY"") return ""INSTANTLY"";"
